transaction_id,post_ts,customer_id,bin,terminal_id,amt,entry_mode,fraud,fraud_scenario
vCpf7SlCQJ-5jle6FQ__6A,2023-04-07 19:27:40,C00004148,520346,T001067,10.05,Chip,0,0
xtveySkURIiXDTcKLNHV7A,2023-04-10 08:24:11,C00002172,364326,T001017,21.82,Chip,0,0
HEPKrmi1R0aEZujBgJnhGQ,2023-05-18 12:24:41,C00005350,542858,T001097,116.01,Contactless,0,0
qp29JAc2Q0qfkvjJuQMCXA,2023-06-17 18:00:30,C00004960,542069,T001018,83.39,Contactless,0,0
9suvFYrWQTKuFXlo1Ry7Ag,2023-02-13 16:27:44,C00001354,518179,T001008,30.88,Chip,0,0
D4LAbBgGTeacLpKEiV31wQ,2023-07-19 02:02:23,C00002428,424208,T001063,8.35,Contactless,0,0
doAZctFbSAynXJ-NpC81DQ,2023-03-30 11:16:45,C00005080,464408,T001032,68.41,Chip,0,0
NuT2ZiL9RjmDvvbTfR8c7w,2023-07-26 20:14:46,C00003301,375650,T001080,48.88,Chip,0,0
XupR9JzAQOitGvH_UZEA3A,2023-07-30 12:15:21,C00001492,512799,T001050,100.5,Swipe,0,0
xSfQUWpqQAiMV7p0Mn7FXA,2023-02-27 00:08:58,C00004826,375686,T001008,26.41,Contactless,0,0
MfN3IyFKQ8S2L363Zzak7g,2023-04-15 19:17:06,C00002798,541171,T001049,78.8,Chip,0,0
P0Xp9rpdSzOE8ErODkEjYw,2023-05-27 15:19:07,C00004664,515878,T001076,17.61,Contactless,0,0
C8XrzaEqQIa2BMyJwPwxtQ,2023-05-02 12:01:04,C00004878,524724,T001013,25.53,Chip,0,0
yFcIhDabQL-1LMB9heDSdg,2023-03-12 10:04:45,C00005454,375574,T001088,13.25,Contactless,0,0
hGvc25J-QqeW97lKLG4wLQ,2023-06-05 16:56:37,C00004657,375561,T001054,34.81,Swipe,0,0
53DcaJn-RPazYVf1HRotfQ,2023-05-31 06:49:51,C00003006,425706,T001088,42.08,Contactless,0,0
HNxDS2jHS4yz7UB5TAE9Gg,2023-02-12 05:05:03,C00002085,375581,T001092,11.66,Swipe,0,0
g2fyBj6CT6m_a0Ohlnewng,2023-06-25 14:14:06,C00001317,367016,T001085,74.27,Contactless,0,0
cLsz4hoFRNeDSaP9Z_uBng,2023-06-16 18:22:28,C00005103,364326,T001026,132.8,Contactless,0,0
2aakLpjjR_Ccug-ONb5hMw,2023-07-25 16:45:50,C00005171,542302,T001095,19.72,Chip,0,0
-YJj1ipJRWCmKbZHEZVxag,2023-05-04 19:26:54,C00001190,515635,T001048,48.71,Contactless,0,0
xmNNCdCgS1aUjPr_jRW4EQ,2023-03-29 10:54:17,C00003202,361860,T001025,14.98,Swipe,0,0
cb1BKOIcS7-lDrW-P42F4A,2023-07-18 08:37:40,C00004029,465965,T001048,19.84,Chip,0,0
MPCTFZLLRSu2kUmCeEyJiQ,2023-06-02 02:01:40,C00005775,518772,T001003,29.47,Swipe,0,0
Q4QYDzyEREOf-tC6dDir6A,2023-05-21 05:57:25,C00001350,375686,T001076,16.02,Chip,0,0
BfwLwcStT8qSHLmbKEhK8w,2023-03-01 06:19:04,C00005753,518627,T001032,8.27,Chip,0,0
zKLMrUG5SfySAzyBbNu42g,2023-04-20 08:21:24,C00004944,510024,T001008,8.75,Swipe,0,0
v4CwSgqzTHuJCwUewwny0Q,2023-06-29 11:07:17,C00005986,466527,T001000,18.61,Chip,0,0
z35__SFdRjGnh0FuNapFBA,2023-03-07 10:15:43,C00003192,524722,T001009,0.15,Chip,0,0
DdBgMKmnR9aAqx5Auk3njA,2023-07-16 21:18:54,C00004700,364326,T001056,15.95,Swipe,0,0
yoWwViZrSreF4CtV_hW99A,2023-04-05 11:19:55,C00005398,364081,T001031,14.36,Swipe,0,0
k8eBeyn_Tpa6eTBYvZ-_6g,2023-05-27 16:36:33,C00002892,422414,T001015,114.19,Chip,0,0
Qr0sGGllSyuVRRPWdWdDCQ,2023-06-07 17:03:12,C00005358,375570,T001065,84.74,Chip,0,0
KOHfME7QQrSeQF7LeGVhow,2023-03-08 21:02:29,C00001215,361800,T001056,81.78,Chip,0,0
prJaTJa5Sw-BYLUfwUlJqw,2023-06-02 16:56:34,C00004347,360042,T001071,57.82,Swipe,0,0
G8xbD5QfQwi4WyLl-GgxxA,2023-07-02 12:04:20,C00004018,377893,T001063,51.4,Swipe,0,0
netpSnuJSz6awsl1CJp9DQ,2023-04-08 04:11:50,C00002268,377893,T001013,99.55,Chip,0,0
e3AdpkeaROWujXVSWIP3pQ,2023-02-27 09:16:47,C00005292,407548,T001071,33.3,Contactless,0,0
zreSNKG4TB-DdVk2m7VAOQ,2023-03-02 11:02:37,C00005445,541171,T001008,111.33,Swipe,0,0
BgGzzbkiTXuFDZ_KNpizsA,2023-03-31 21:50:04,C00002246,510024,T001088,15.79,Swipe,0,0
PZTDxy9ITTiAzCI-m0moiQ,2023-03-28 15:21:59,C00005415,421510,T001012,59.85,Chip,0,0
moL-geBXTIagWWrlXZOiyw,2023-04-05 03:41:41,C00005241,524723,T001000,79.99,Contactless,0,0
YCGhav1XSzWPEvwz3sr4OQ,2023-02-08 04:18:07,C00005436,364876,T001090,0.03,Chip,0,0
k1UGB9qTQMGm2QbceTbG0Q,2023-02-06 07:29:36,C00002945,444989,T001035,76.61,Chip,0,0
ManxONu-R5GDok-kVLidbA,2023-04-09 08:19:54,C00001646,375574,T001054,58.87,Chip,0,0
HmBz7fF1QPCky0T4gaii0A,2023-03-29 03:03:45,C00002326,377893,T001004,36.16,Swipe,0,0
8-g6aQUnTzuQDYsNa5k73A,2023-02-02 17:13:44,C00005687,375686,T001001,94.88,Chip,0,0
k4x8Cy_mS2yq7q5P32ptYQ,2023-04-27 09:37:51,C00005445,541171,T001008,53.21,Chip,0,0
KKPzf-dfSz2W6gzH5pxQ2w,2023-06-12 05:56:09,C00001889,375561,T001025,57.51,Swipe,0,0
F5TKXhpcTSqPk4V-HDe1Bg,2023-07-28 18:37:40,C00004941,510052,T001029,94.92,Contactless,0,0
mFv2boVxQ2-n0hbEqWZPdg,2023-06-18 20:25:26,C00004067,375618,T001014,21.03,Contactless,0,0
8pSKDl28TKmVRJnWps3FCg,2023-06-20 04:36:18,C00003372,512799,T001045,52.58,Chip,0,0
xgF7o05wSc6k4l9jUNJffg,2023-04-02 09:01:40,C00001942,510051,T001014,53.23,Chip,0,0
9F72X77xT1WNO_gOQZ5QxQ,2023-05-25 18:25:14,C00002712,375574,T001098,92.89,Contactless,0,0
39JVjoRBSgWfj1KJaNVUJA,2023-05-23 12:54:00,C00004652,364081,T001030,71.08,Contactless,1,2
FtNJvJGDQJOm0lWJbrfNuQ,2023-04-20 02:30:41,C00002045,524724,T001016,47.88,Swipe,0,0
1DSDGFFvTW-lpKxI4Q58hw,2023-05-30 11:30:16,C00003161,512482,T001009,86.36,Contactless,0,0
AeDdzBSKTR-5R9clJOObgA,2023-07-13 12:57:29,C00001965,552727,T001008,196.88,Contactless,0,0
2rF85FSnRM21mbbvj9CkLg,2023-05-12 07:14:16,C00003701,360048,T001021,27.67,Swipe,0,0
43p34cqaRt2p5QnokEH5zg,2023-06-02 04:09:54,C00003044,510052,T001004,69.74,Swipe,0,0
TRCuuoJHQSi2ZMACHDpAiA,2023-05-21 17:12:58,C00003490,361800,T001046,17.83,Chip,0,0
DFf8emO-T-SjdrPiH9gGig,2023-06-11 00:22:05,C00004127,364343,T001059,76.41,Chip,0,0
eQZ6lI_YT9G3aAJbLxxoYQ,2023-07-22 11:59:20,C00005187,360063,T001069,43.61,Contactless,0,0
X2hxOGNnSdixkYdnfrXdWA,2023-07-08 05:58:43,C00004335,520629,T001038,26.77,Contactless,0,0
MSxAvDDoQ8WttGBwp7Cb2Q,2023-07-29 03:48:47,C00002370,520346,T001086,87.04,Chip,0,0
KbDKXsTmR6a-n67LS4NgeQ,2023-05-21 13:20:44,C00002148,419460,T001073,16.54,Contactless,0,0
ldhtZ5AvTpu7eeXt0hOFhQ,2023-05-07 15:05:32,C00005766,375617,T001017,56.58,Chip,0,0
9V9TpStySLaWgtEsNEKulw,2023-06-07 17:33:45,C00002284,406036,T001032,159.01,Contactless,0,0
q7sB6oplTaaTHVi20o9lMg,2023-02-14 11:31:27,C00005273,364870,T001032,12.88,Swipe,0,0
W9p-cjGcT2GrO6mwFvr1Aw,2023-07-15 16:42:32,C00005015,512470,T001073,13.09,Chip,0,0
0hRXEhpfRPKdpHjfh6xGrQ,2023-05-01 16:08:02,C00002023,360063,T001059,51.55,Contactless,0,0
KsIynBdyQ26BAjoZO2bLhA,2023-05-20 06:46:27,C00003745,362312,T001057,35.24,Chip,0,0
bFEyxP10TXOw_T2UWF4T4Q,2023-02-04 08:09:06,C00001107,364340,T001086,5.89,Swipe,0,0
HSNSEfidQI-mERPMSru6lQ,2023-02-07 05:24:42,C00002893,361860,T001086,37.33,Chip,0,0
ZPefejV9T_-Gmzt6-vfwLQ,2023-05-06 08:52:07,C00003407,364321,T001050,39.13,Chip,0,0
T90DYkKxSS-n184xTaZNsw,2023-02-21 17:31:14,C00001313,375561,T001093,80.96,Chip,0,0
dazSFPEQQBiDLgCMkOTdOA,2023-06-14 22:21:22,C00004411,408596,T001017,24.47,Contactless,0,0
vBuoWbJjSK621IOmvRg7CA,2023-06-23 15:04:04,C00001627,404829,T001082,13.53,Chip,0,0
e4Uykpz4TjC-DS3vYw04bw,2023-04-09 14:58:03,C00005507,455573,T001051,75.48,Chip,0,0
-W6pVNJ8QGWRyy7t0XrbAA,2023-05-01 09:52:55,C00003196,364082,T001031,21.0,Contactless,0,0
dzeJO2W7Ts--WJ8ZTTe-5w,2023-07-05 07:16:49,C00003667,361800,T001031,26.05,Chip,0,0
mHaPVfgqRgCqGh2-pmRN_Q,2023-07-03 05:02:46,C00005608,454755,T001071,112.22,Contactless,0,0
DNscEUOHQMGxuMhd4kfxvQ,2023-06-27 17:35:01,C00004893,364329,T001004,24.78,Swipe,0,0
z8UPKAitTlOaJN0BHNIlnA,2023-03-22 11:59:34,C00003881,476329,T001010,93.69,Swipe,0,0
71cbE3HMSMm3Ap1QRaV1hQ,2023-02-09 18:28:27,C00002201,375617,T001098,14.7,Chip,0,0
1JbG8eC9QE2MVuwbBXTQ2Q,2023-07-08 17:19:46,C00003457,361848,T001008,51.37,Contactless,0,0
zohBh3nCR-uZD6dRviAy1g,2023-07-25 10:33:35,C00004280,375562,T001013,6.2,Chip,0,0
uLyIBxBOSlOPPWnncN9DHg,2023-07-27 09:28:33,C00001458,411700,T001022,21.34,Chip,0,0
M6VNDMTJR5KqnOREwzuucA,2023-03-13 12:07:15,C00002312,364113,T001053,34.52,Swipe,0,0
10lPuDB8S6Wm2ao6_tqCBw,2023-07-07 16:07:04,C00003100,445961,T001066,69.16,Swipe,0,0
7YkUaoqqSwOHIHsLLg-ANg,2023-07-22 10:43:14,C00003248,421510,T001097,39.0,Swipe,0,0
ojqiClGjR6SZliL8tXzmPA,2023-07-16 19:49:47,C00002988,415404,T001093,18.28,Swipe,0,0
dJEu46hsToe1mEtgeG-vGw,2023-03-26 10:42:40,C00003756,375618,T001076,107.84,Swipe,0,0
WMsjBOwmRJu_JEL2woCLKA,2023-05-18 11:50:11,C00002172,364326,T001085,19.6,Chip,0,0
UGazEyg7TM-m_2oeGJgFUQ,2023-02-07 07:32:11,C00003670,408596,T001005,45.39,Swipe,0,0
r9jDornUSAe-DwtecsPlFg,2023-06-28 13:12:03,C00005707,364840,T001045,47.52,Contactless,0,0
PJdddq7pQkiP7OBUHQccnA,2023-06-22 12:51:42,C00005860,360038,T001012,66.58,Contactless,0,0
88LaHlJVQHSywUkWS4ZvmQ,2023-06-02 12:56:56,C00005450,364321,T001032,21.65,Chip,0,0
fulxpD61R1Gt9AAKGR67Dg,2023-07-29 16:00:26,C00003119,375617,T001038,37.58,Chip,0,0
za-kKHCbT6ec-iTrnrTGgQ,2023-07-20 18:14:07,C00001364,422241,T001065,51.26,Chip,0,0
iGOnDvCkRI-eIplS5EHY_w,2023-03-19 03:37:16,C00005082,375686,T001010,31.4,Chip,0,0
hLksdYPqTKW15K6wsYF68w,2023-04-29 00:34:52,C00003892,510242,T001080,30.74,Chip,0,0
YvrmcstMQBKy0koiYhVhZg,2023-03-24 20:39:18,C00004369,360046,T001047,51.18,Contactless,0,0
yJ5RSyexSCuUXu9iTuRvBQ,2023-04-10 11:25:55,C00004316,364113,T001024,43.32,Swipe,0,0
Hn9q_0lKTZS4704L0GxheA,2023-07-06 06:03:29,C00003718,477921,T001087,50.65,Contactless,0,0
jbsM8bSSRuecWFpVWbIqCw,2023-06-28 15:19:56,C00002199,515635,T001015,53.02,Contactless,0,0
2DK-5aoLSji2fjaOPpCMwg,2023-07-03 14:18:00,C00002496,361840,T001035,37.52,Swipe,0,0
9zdbXQ8hRCaZZc81SykQTQ,2023-03-24 03:37:09,C00002864,512470,T001049,8.39,Chip,0,0
XYvVXJHuRri5rfaS4KmXFQ,2023-07-30 07:35:21,C00002914,455573,T001089,69.46,Swipe,0,0
K-F5SaeeToejpwkhc34U2w,2023-07-17 20:58:06,C00003186,536468,T001098,122.58,Chip,0,0
OwpS5HORQO-vbH3BIzNAmQ,2023-03-27 14:19:47,C00004615,410553,T001088,41.16,Swipe,0,0
yGQ1vAR5Rw2S4IB6wMsMGg,2023-02-05 13:05:56,C00003530,364112,T001066,34.79,Contactless,0,0
FLOvRIHESQGt3bRQ2DrSFQ,2023-06-14 15:56:12,C00003589,547260,T001016,58.26,Swipe,0,0
hKitsjfJSKmeGvBCByHA0Q,2023-06-24 13:29:16,C00003444,518179,T001011,94.59,Contactless,0,0
XxSNiWtpSmCedhIs8CgMPQ,2023-06-04 11:44:21,C00002809,524723,T001051,83.3,Swipe,0,0
68osOve2T_-5vVcSYFhplQ,2023-04-19 04:50:25,C00003541,377893,T001003,12.57,Chip,0,0
3A33vjndSHKx-GlkT526Nw,2023-05-31 09:04:56,C00001997,412486,T001015,12.19,Swipe,0,0
nWhGFyykSZqwcsIZRjNBvw,2023-05-26 16:48:31,C00005636,360062,T001062,88.14,Swipe,0,0
yNKiUO3KTQGNasJvyVxUGQ,2023-05-24 00:23:49,C00002092,375601,T001043,25.94,Chip,0,0
5HCPNXZ4TUqXH56itPOv4w,2023-03-14 20:35:43,C00003775,524723,T001087,48.88,Chip,0,0
uYSDATUGTvajGSQEc93oNA,2023-02-08 10:07:30,C00001548,375570,T001074,16.62,Chip,0,0
rE5Xb66ITOeFfP8SwO_f3w,2023-05-03 06:29:48,C00005949,510024,T001051,164.46,Swipe,1,1
gs-YEfjIT72x-pUz4yEyXw,2023-04-04 04:12:55,C00005927,375562,T001071,25.21,Chip,0,0
75r8rVtsT9SLg41m9D9EeA,2023-05-24 08:55:22,C00001732,375563,T001016,46.45,Swipe,0,0
ghKcrT26Sk2OyvK6FvlB_A,2023-06-30 06:36:30,C00001286,536468,T001056,24.08,Chip,0,0
0r39uC-VRVSW-U21hMwhEg,2023-05-09 14:06:11,C00005333,465963,T001022,42.24,Swipe,0,0
H0V_2iNRQCqpng5cxIXHrg,2023-02-21 10:33:25,C00002725,515878,T001000,26.38,Contactless,0,0
94dTWoTzQeOkuhEJkogayw,2023-03-05 18:53:04,C00002845,361839,T001095,50.53,Contactless,0,0
OMK8k0rBTkmmHL4MAXV1BQ,2023-02-27 06:01:33,C00001225,375562,T001062,100.86,Swipe,0,0
rqPVGxCZR1qsmCrXh7qiIw,2023-03-29 16:50:30,C00002379,492194,T001017,13.38,Contactless,0,0
PzcOhIRgQq-YNZ9JFIqVaQ,2023-03-04 01:51:58,C00001438,412487,T001025,98.86,Chip,0,0
dHaMBugBTySRThDL3rKbeQ,2023-07-28 10:14:07,C00001592,361480,T001068,55.92,Contactless,0,0
CXmjjg-xSsqlKlqPtm0ZOw,2023-04-07 08:52:57,C00004364,364111,T001079,49.07,Swipe,0,0
OLFdhaJzStWDyYbFNDXgEg,2023-04-08 16:20:21,C00003027,422239,T001003,95.08,Chip,0,0
0yTIBVrLSU2_aQr-0kSWrw,2023-07-18 13:36:14,C00004123,512299,T001032,19.71,Chip,0,0
bXWoTmdiQKm1JoB4mGv8pg,2023-04-24 04:05:19,C00002112,361480,T001087,61.24,Chip,0,0
qvnh8_vdTba6tdn4mrjfYg,2023-03-16 17:17:40,C00005883,409711,T001015,57.98,Chip,0,0
GNrGcHdYQ-mtrCA1V0VoWA,2023-03-12 19:16:52,C00003188,410216,T001031,35.14,Swipe,0,0
RCkm5-JfSLuwOkussxWOTA,2023-02-19 09:10:45,C00004995,364343,T001014,107.51,Chip,0,0
HRjThpaWQe2WhEZQ71C86A,2023-05-21 05:37:29,C00002575,362312,T001082,90.26,Swipe,0,0
X8MRpOAkRbmlzWU1axEpQA,2023-06-28 08:08:31,C00004171,361839,T001001,64.33,Contactless,0,0
NmKOs0lZRf6U8oDzdZxxyA,2023-06-10 13:10:55,C00004965,375561,T001095,105.62,Swipe,0,0
ZG80Aq5QQ6C7qm_OPgaHDA,2023-05-08 06:20:20,C00003684,361369,T001093,55.85,Chip,0,0
Ezq9oLvnTNm-9vvcC88ZQw,2023-02-03 12:41:22,C00005949,510024,T001051,86.6,Chip,0,0
PX7Y5jJMQaKaLaqHGZ2MZQ,2023-06-29 13:46:40,C00001831,515635,T001088,125.45,Contactless,0,0
EZDP5S3oTC-fwXaM6snYNw,2023-05-11 18:31:29,C00004451,415174,T001009,26.2,Contactless,0,0
CiLxpoqFS-yUXnp4lhiNAA,2023-02-04 14:12:09,C00001875,377893,T001044,42.39,Swipe,0,0
pa5TiUiERn-ibFpOVCNEiQ,2023-06-30 13:54:12,C00002428,424208,T001059,3.59,Chip,0,0
cqUjQMATRbCJjDMJwKQmnw,2023-06-13 05:33:34,C00005722,510051,T001063,7.26,Swipe,0,0
7QfmmcpjRQimIh1Q24KbsA,2023-06-16 02:31:01,C00004591,375584,T001077,44.09,Chip,0,0
LXhXcfsBRpmLpHRLeoDzKg,2023-02-06 14:25:52,C00002122,518988,T001034,38.56,Chip,0,0
JlCzhwBKS2qvjlTZq8lKTA,2023-03-19 16:55:51,C00004515,415170,T001055,147.94,Contactless,0,0
YqqWZZMxRHKOTrSd2qSYfA,2023-05-26 15:37:52,C00004516,361848,T001075,106.31,Chip,0,0
LQiK1vLnS_etxu7yTY-LSw,2023-02-02 05:08:39,C00004182,364343,T001086,33.2,Chip,0,0
9MNomBIhQaazdKrDXjTl_Q,2023-07-09 20:24:50,C00005341,375650,T001047,0.26,Swipe,0,0
vBiGwOdaQaaj2X3l---k_Q,2023-05-27 08:20:52,C00004719,477921,T001001,7.57,Chip,0,0
DP_f7ISxQj-W5k5yhysc_w,2023-04-07 10:31:21,C00004199,364840,T001066,34.82,Contactless,0,0
6XgBWr01SAuEojAGe6Lggw,2023-06-06 04:55:29,C00002048,364113,T001005,90.29,Swipe,0,0
Rupf3UimQK2OwDDFmIszoA,2023-05-30 06:50:09,C00005348,518179,T001064,93.73,Chip,0,0
IppH83JBRJe5XuUO6FJQNg,2023-02-24 18:24:54,C00005597,364321,T001051,21.46,Contactless,0,0
FNtUC7saTu-hEGINYm9clw,2023-07-09 11:23:21,C00003536,477946,T001080,130.78,Contactless,0,0
F72kIbh3SAOfzMHv9TSQrw,2023-04-09 07:48:06,C00003666,542069,T001051,138.44,Swipe,0,0
wm-xiQlAQlyuBoODKUU8jw,2023-07-01 07:10:45,C00005520,375686,T001059,25.12,Contactless,0,0
pbXHue0hT_SQxkvRVbmWLg,2023-06-10 13:32:16,C00005662,427338,T001069,32.48,Swipe,0,0
RJPh2Rf5SHCGVKFZboGdcA,2023-05-09 20:57:27,C00003742,375617,T001009,116.8,Chip,0,0
-RAG_GY3S8mMhG3w5Q9xKg,2023-03-07 10:15:54,C00004624,512482,T001034,29.17,Chip,0,0
F6i6reXBRVWUx0xGG1B71Q,2023-02-11 14:37:55,C00003564,377893,T001061,63.2,Chip,0,0
jyaqnHszSJmAp6tj-xEZmg,2023-06-01 07:27:40,C00004018,377893,T001030,59.01,Chip,0,0
x7Jifz7RRuC6mCjJZR3KPA,2023-02-12 09:53:36,C00003143,510052,T001087,5.05,Swipe,0,0
eHVMKwLQRKGRIRtdCV-QEQ,2023-07-28 09:22:03,C00001793,375562,T001098,111.46,Swipe,0,0
GbZx3g2CTeSJh-FGvWwm0w,2023-04-08 08:54:04,C00005332,412487,T001019,18.06,Swipe,0,0
yTvdTcMnQnCr-yswqTeVww,2023-05-04 19:58:39,C00001109,510061,T001001,42.12,Contactless,0,0
TWRpHsnXT1-74bB5rEg1LA,2023-07-28 14:58:09,C00002464,375618,T001092,38.84,Chip,0,0
_nUCSbE0SuaHpTiIolNFqg,2023-05-11 04:26:15,C00005604,464408,T001038,0.91,Swipe,0,0
krn4aKTZTkS7dmMK81fXLg,2023-07-18 16:59:56,C00002688,364326,T001047,86.12,Swipe,0,0
GESmGXocTleqEW9i3-JNRw,2023-02-22 15:57:25,C00003828,364870,T001088,62.55,Contactless,0,0
LDS29SKAQXCfcyqyutpC1A,2023-03-21 08:52:50,C00004593,520346,T001046,1.71,Swipe,0,0
wQ3-JaV4TouWRaOdqsZuzw,2023-02-14 10:36:21,C00003559,360048,T001050,22.0,Swipe,0,0
XPZpJVZzQu-PJbCqC4jnRA,2023-03-02 11:29:42,C00002482,375561,T001053,41.22,Swipe,0,0
UyCfpkvhRaqhD1EvHB0ryg,2023-04-06 16:21:55,C00001995,377893,T001009,31.57,Swipe,0,0
IKx5yq5GRPOJlEMjgCfF-g,2023-07-09 05:03:50,C00002436,375617,T001000,124.87,Swipe,0,0
hpClKkb8SmeEd-RvFx2eWg,2023-02-05 17:13:40,C00003746,510034,T001082,28.03,Chip,0,0
uSeiIHsgTQmjBkFoorB4fw,2023-03-02 04:10:25,C00004946,415403,T001004,23.15,Swipe,0,0
4t7SmTZDQImtdeHL9oVwgQ,2023-03-29 14:20:07,C00003537,460340,T001008,28.44,Swipe,0,0
LkS5rGtfTqaaF7uVhcxTeA,2023-07-11 04:02:18,C00005110,542858,T001092,34.92,Contactless,0,0
cUuK3m3UQiqNhZRSeG3i_w,2023-04-30 04:30:57,C00003154,409016,T001044,89.42,Chip,0,0
7nWkJeaHQtu7LnD8uKkQLw,2023-07-12 12:34:01,C00002990,510024,T001037,32.0,Swipe,0,0
DdtsouP5SKKUC61Y8g_zxQ,2023-05-03 15:05:58,C00003279,524725,T001041,22.35,Swipe,0,0
weuuWPWPQPe0rd-0mxuqtQ,2023-04-09 02:37:03,C00002115,518988,T001055,29.09,Swipe,0,0
PPBxY-J2RPi055_lV9XgOg,2023-07-18 05:36:02,C00002341,460342,T001066,48.95,Chip,0,0
QSlelfX1TXaaUpVAVS1Fdw,2023-04-02 17:57:18,C00005603,518772,T001088,22.62,Contactless,0,0
8AZ82RQbQjCqF4nBYNXokQ,2023-02-10 06:44:41,C00005833,512482,T001095,18.31,Swipe,0,0
ZuKE5PlXQGiYIHKwEHCsgQ,2023-02-14 20:03:19,C00001298,518179,T001073,175.01,Swipe,0,0
z8djUq8bR1mK2XXsnb-cWA,2023-07-09 19:52:39,C00004003,360069,T001060,6.88,Chip,0,0
tvQTTjIFTueEi7m2Bc0tcg,2023-07-11 07:07:50,C00002069,524724,T001085,48.88,Swipe,0,0
1R6Es_fXQ7WcMs_HKgo7xA,2023-07-29 07:53:51,C00004365,375686,T001084,20.08,Swipe,0,0
VxGGek5dTfq3yONNhETeQw,2023-05-22 17:19:42,C00003765,440637,T001040,9.71,Contactless,1,2
0hh6CL1fRJCpVHlvOcVhpA,2023-07-24 23:13:50,C00002271,524722,T001020,7.24,Contactless,0,0
Xp3wdphURsSxJ44QObrBdA,2023-04-29 14:57:31,C00003420,375563,T001097,98.23,Swipe,0,0
3K4QZ7i8Qz-n051gQrTi8w,2023-06-20 07:35:36,C00003236,375561,T001087,44.01,Swipe,0,0
LUi4IXzIQlO17WM1SvQhLQ,2023-02-12 05:42:27,C00002604,421509,T001050,93.82,Contactless,0,0
Bogmm3mQRI6jUe2hZgFXyg,2023-02-24 08:48:45,C00001821,364343,T001090,41.81,Contactless,0,0
rP0-zcAqQHil9_GDkbmWAQ,2023-02-12 11:38:19,C00004390,361800,T001085,30.63,Swipe,0,0
mPTN-2_uQ2qClQpHdn1d1A,2023-03-08 02:22:18,C00004844,519356,T001033,9.7,Chip,0,0
EohcxZYdQriG06k-jA3lug,2023-05-15 14:42:54,C00005661,364321,T001091,18.54,Contactless,0,0
550Gstj9RWSEEnExS3BoeA,2023-06-21 05:44:33,C00005337,364840,T001057,59.66,Swipe,0,0
r_lhJbBLSfuWLIvgtF_qbw,2023-02-24 12:10:51,C00003744,364326,T001081,34.27,Chip,1,2
6HUDs5keQq2ECoQ5hZYVxg,2023-06-13 00:46:17,C00001301,375581,T001031,75.54,Contactless,0,0
I7Zc1BV1SdyN_miqT0UcbQ,2023-06-09 09:35:28,C00005426,518772,T001047,102.77,Swipe,0,0
